Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.94*D*D + 0.06*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
26-SEP-2019,20MICRONS,40.00,37.70,0.0592,0.0258,0.0289,0.5521
26-SEP-2019,21STCENMGM,13.15,14.00,-0.0626,0.0571,0.0574,1.0966
26-SEP-2019,3IINFOTECH,2.15,2.15,0.0000,0.0562,0.0545,1.0412
26-SEP-2019,3MINDIA,20044.25,20058.60,-0.0007,0.0350,0.0339,0.6477
26-SEP-2019,3PLAND,6.65,6.00,0.1029,0.0700,0.0724,1.3832
26-SEP-2019,500009,10.39,10.47,-0.0077,0.0256,0.0249,0.4757
26-SEP-2019,500012,41.75,42.60,-0.0202,0.0291,0.0286,0.5464
26-SEP-2019,500014,1.18,1.16,0.0171,0.0366,0.0357,0.6820
26-SEP-2019,500016,5.89,5.89,0.0000,0.0295,0.0286,0.5464
26-SEP-2019,500028,3.67,3.75,-0.0216,0.0360,0.0353,0.6744
26-SEP-2019,500058,0.57,0.60,-0.0513,0.0368,0.0378,0.7222
26-SEP-2019,500068,5051.00,5014.30,0.0073,0.0242,0.0235,0.4490
26-SEP-2019,500069,71.25,71.25,0.0000,0.0297,0.0288,0.5502
26-SEP-2019,500120,120.45,118.15,0.0193,0.0321,0.0315,0.6018
26-SEP-2019,500123,2532.20,2398.00,0.0545,0.0258,0.0283,0.5407
26-SEP-2019,500141,2.77,2.82,-0.0179,0.0317,0.0310,0.5923
26-SEP-2019,500142,1.34,1.35,-0.0074,0.0229,0.0223,0.4260
26-SEP-2019,500143,14.70,14.70,0.0000,0.0260,0.0252,0.4814
26-SEP-2019,500147,932.85,950.90,-0.0192,0.0346,0.0339,0.6477
26-SEP-2019,500153,32.45,33.40,-0.0289,0.0505,0.0495,0.9457
26-SEP-2019,500159,52.45,50.45,0.0389,0.0618,0.0607,1.1597
26-SEP-2019,500166,168.50,166.40,0.0125,0.0250,0.0244,0.4662
26-SEP-2019,500168,954.95,950.95,0.0042,0.0153,0.0149,0.2847
26-SEP-2019,500192,2.75,2.85,-0.0357,0.0230,0.0240,0.4585
26-SEP-2019,500206,7.95,7.95,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,500211,15.00,15.30,-0.0198,0.0270,0.0266,0.5082
26-SEP-2019,500212,20.00,20.00,0.0000,0.0236,0.0229,0.4375
26-SEP-2019,500213,88.80,89.90,-0.0123,0.0367,0.0357,0.6820
26-SEP-2019,500214,717.70,705.20,0.0176,0.0292,0.0286,0.5464
26-SEP-2019,500220,46.20,45.30,0.0197,0.0405,0.0396,0.7566
26-SEP-2019,500223,0.90,0.91,-0.0110,0.0424,0.0412,0.7871
26-SEP-2019,500236,0.60,0.60,0.0000,0.0294,0.0285,0.5445
26-SEP-2019,500239,32.05,31.35,0.0221,0.0480,0.0469,0.8960
26-SEP-2019,500240,39.10,38.60,0.0129,0.0379,0.0369,0.7050
26-SEP-2019,500245,61.70,60.70,0.0163,0.0234,0.0230,0.4394
26-SEP-2019,500246,20.00,20.00,0.0000,0.0318,0.0308,0.5884
26-SEP-2019,500248,6.26,6.26,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,500264,73.60,75.00,-0.0188,0.0453,0.0442,0.8444
26-SEP-2019,500267,135.60,135.85,-0.0018,0.0371,0.0360,0.6878
26-SEP-2019,500277,0.52,0.50,0.0392,0.0200,0.0216,0.4127
26-SEP-2019,500284,45.45,43.50,0.0439,0.0370,0.0374,0.7145
26-SEP-2019,500298,2084.55,2022.45,0.0302,0.0502,0.0492,0.9400
26-SEP-2019,500306,4.75,5.00,-0.0513,0.0533,0.0532,1.0164
26-SEP-2019,500307,221.10,220.10,0.0045,0.0146,0.0142,0.2713
26-SEP-2019,500319,16.55,16.58,-0.0018,0.0372,0.0361,0.6897
26-SEP-2019,500329,0.31,0.30,0.0328,0.0376,0.0373,0.7126
