Stocks allowed for MIS,Margin allowed
3MINDIA:EQ,3X
AARTIIND:EQ,3X
ABB:EQ,3X
ABFRL:EQ,3X
ACC:EQ,12.5X
ACE:EQ,3X
ADANIENT:EQ,5X
ADANIPORTS:EQ,5X
ADANIPOWER:EQ,5X
AIAENG:EQ,3X
AJANTPHARM:EQ,3X
AKZOINDIA:EQ,3X
ALBK:EQ,11X
ALKEM:EQ,3X
ALLCARGO:EQ,3X
AMARAJABAT:EQ,12.5X
AMBUJACEM:EQ,12.5X
APOLLOHOSP:EQ,5X
APOLLOTYRE:EQ,12.5X
ARVIND:EQ,5X
ASAHIINDIA:EQ,3X
ASHOKLEY:EQ,5X
ASIANPAINT:EQ,12.5X
ASTRAZEN:EQ,3X
ATFL:EQ,3X
ATUL:EQ,3X
AUBANK:EQ,3X
AUROPHARMA:EQ,12.5X
AUTOAXLES:EQ,3X
AVANTIFEED:EQ,3X
AXISBANK:EQ,12.5X
BAJAJ-AUTO:EQ,12.5X
BAJAJFINSV:EQ,12.5X
BAJAJHLDNG:EQ,3X
BAJFINANCE:EQ,12.5X
BALKRISIND:EQ,12.5X
BALRAMCHIN:EQ,3X
BANCOINDIA:EQ,3X
BANKBARODA:EQ,12.5X
BANKBEES:EQ,10X
BANKINDIA:EQ,5X
BATAINDIA:EQ,12.5X
BBTC:EQ,3X
BEL:EQ,12.5X
BEML:EQ,3X
BERGEPAINT:EQ,12.5X
BHARATFORG:EQ,12.5X
BHARTIARTL:EQ,5X
BHEL:EQ,5X
BIOCON:EQ,12.5X
BLUEDART:EQ,3X
BOSCHLTD:EQ,12.5X
BPCL:EQ,12.5X
BRITANNIA:EQ,12.5X
BSE:EQ,3X
CADILAHC:EQ,12.5X
CANBK:EQ,12.5X
CANFINHOME:EQ,3X
CAPACITE:EQ,3X
CASTROLIND:EQ,12.5X
CDSL:EQ,3X
CEATLTD:EQ,3X
CENTRUM:EQ,3X
CENTURYPLY:EQ,3X
CENTURYTEX:EQ,12.5X
CEREBRAINT:EQ,3X
CESC:EQ,12.5X
CGCL:EQ,3X
CHENNPETRO:EQ,3X
CHOLAFIN:EQ,12.5X
CIPLA:EQ,12.5X
COALINDIA:EQ,12.5X
COCHINSHIP:EQ,3X
COLPAL:EQ,12.5X
CONCOR:EQ,12.5X
COROMANDEL:EQ,3X
CRISIL:EQ,3X
CROMPTON:EQ,3X
CUB:EQ,3X
CUMMINSIND:EQ,12.5X
CYIENT:EQ,3X
DABUR:EQ,12.5X
DALMIASUG:EQ,3X
DBCORP:EQ,3X
DCBBANK:EQ,3X
DHAMPURSUG:EQ,3X
DHFL:EQ,3X
DIAMONDYD:EQ,3X
DISHTV:EQ,5X
DIVISLAB:EQ,8.3X
DIXON:EQ,3X
DLF:EQ,8.3X
DMART:EQ,3X
DREDGECORP:EQ,3X
DRREDDY:EQ,5X
ECLERX:EQ,3X
EICHERMOT:EQ,12.5X
EIDPARRY:EQ,3X
EIHOTEL:EQ,3X
ELECTCAST:EQ,3X
EMAMILTD:EQ,3X
ENGINERSIN:EQ,12.5X
EQUITAS:EQ,5.6X
ERIS:EQ,3X
ESCORTS:EQ,12.5X
EXIDEIND:EQ,12.5X
FEDERALBNK:EQ,12.5X
FEL:EQ,3X
FINCABLES:EQ,3X
FORTIS:EQ,3X
FRETAIL:EQ,3X
GAIL:EQ,5X
GDL:EQ,3X
GEPIL:EQ,3X
GESHIP:EQ,3X
GHCL:EQ,3X
GICHSGFIN:EQ,3X
GICRE:EQ,3X
GILLETTE:EQ,3X
GLAXO:EQ,3X
